Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Reidun,Andresen,Danielsenengen 2,Ellenmark,1122,Norge,NO,19781118-4878,+47,52155692,1978-11-18,True
Jon,Huerta,Washington Curve 50508,East Jefferyfurt,42408,Danmark,DK,19551102-7620,+45,(221)548-9779x780,1955-11-02,True
Jimmy,Roberts,Walton Station 013,Wilsonfurt,32410,Danmark,DK,19700716-0116,+45,(612)526-5843x5280,1970-07-16,True
Hege,Lunde,Evensenflata 2B,Einarborg,8857,Norge,NO,19440110-0927,+47,+47 30 48 40 77,1944-01-10,True
Josefine,Andersson,Parkstigen 94,Kristianstad,15355,Sverige,SE,19410918-0893,+46,08-90 84 26,1941-09-18,True
Emma,Viklund,Ängsgatan 498,Malmö,71435,Sverige,SE,19771222-4085,+46,+46 (0)8 553 063 36,1977-12-22,True
Øystein,Haugen,Eliassenrøa 609,Aune,4779,Norge,NO,19800706-3416,+47,59987296,1980-07-06,True
Anna,Jansson,Furuvägen 9,Östersund,25473,Sverige,SE,19460611-2181,+46,08-739 48 45,1946-06-11,True
Åsa,Johansson,Fabriksvägen 305,Uddevalla,61007,Sverige,SE,19450405-1560,+46,0804-346 72,1945-04-05,True
Øyvind,Tveit,Ellingsenstykket 085,Pettersen,3618,Norge,NO,19610416-4349,+47,+4786786200,1961-04-16,True
Emelie,Johansson,Kyrkogatan 315,Jönköping,45237,Sverige,SE,19840902-1829,+46,025-171 17 63,1984-09-02,True
Bjørn,Mikkelsen,Larsenmyra 93,Mathiasfoss,4268,Norge,NO,19720123-1322,+47,01 17 26 74,1972-01-23,True
Eivind,Hansen,Iversenlyngen 7,Siljenes,1107,Norge,NO,19670330-1305,+47,90793235,1967-03-30,True
Ulf,Karlsson,Ekgatan 4,Halmstad,24754,Sverige,SE,19580404-1831,+46,08-575 13 02,1958-04-04,True
Danielle,Walker,Frank Coves 9292,South Richardchester,40953,Danmark,DK,19980828-0184,+45,001-316-980-2149,1998-08-28,True
Wendy,Becker,Renee Spring 38511,Grimesborough,40075,Danmark,DK,19491026-0531,+45,+1-960-393-3795,1949-10-26,True
Ola,Gustafsson,Villavägen 32,Norrköping,48388,Sverige,SE,20000310-1790,+46,08-53 25 62,2000-03-10,True
Thea,Berntsen,Moenplassen 97,Ellingsen,2989,Norge,NO,19620301-9751,+47,42 72 09 27,1962-03-01,True
Janne,Engen,Myklebustvollen 32,Hansen,9688,Norge,NO,19550706-9640,+47,481 51 668,1955-07-06,True
Steinar,Gundersen,Alibakken 3,Nielsen,1762,Norge,NO,19901112-0451,+47,+47 65 51 28 06,1990-11-12,True
Oskar,Andersson,Parktorget 5,Norrköping,36577,Sverige,SE,19650303-7766,+46,08-864 19 39,1965-03-03,True
Sissel,Gulbrandsen,Haugengen 85F,Brittsund,8525,Norge,NO,19900625-2250,+47,+47 07 98 66 15,1990-06-25,True
Hailey,Mahoney,John Landing 8327,Port Peterton,93199,Danmark,DK,19480211-7302,+45,001-423-781-9410x390,1948-02-11,True
David,Phillips,Gonzalez Way 96650,Bradstad,92225,Danmark,DK,19980602-1287,+45,(908)332-7878,1998-06-02,True
Ida,Lund,Danielseneggen 37,Hildeberg,8612,Norge,NO,20000111-4420,+47,91624057,2000-01-11,True
Carl,Andersson,Skolgatan 4,Ängelholm,53868,Sverige,SE,19630517-3493,+46,08-64 54 55,1963-05-17,True
Alf,Larsson,Stationsvägen 90,Linköping,10116,Sverige,SE,19870905-6372,+46,0179-114 19,1987-09-05,True
Karin,Axelsson,Kyrkovägen 48,Södertälje,38990,Sverige,SE,19470821-1847,+46,08-595 65 93,1947-08-21,True
Irma,Blomqvist,Åkergatan 8,Stockholm,79483,Sverige,SE,19900426-5828,+46,011-90 40 83,1990-04-26,True
Linnéa,Johansson,Stortorget 0,Ängelholm,59860,Sverige,SE,19941112-1436,+46,08-69 04 75,1994-11-12,True
Erik,Fredriksson,Björkstigen 218,Skellefteå,55817,Sverige,SE,19850317-7489,+46,08-086 61 57,1985-03-17,True
Carrie,Craig,Johnson Spur 94416,North Jennifer,64017,Danmark,DK,19530217-1886,+45,702.709.9191x9170,1953-02-17,True
Julia,Blackwell,Reed Mills 51439,North Joshuaborough,55429,Danmark,DK,19881030-6021,+45,001-209-274-1894x0103,1988-10-30,True
Carlos,Morgan,Timothy Extensions 205,West Stacey,51131,Dawmark,DK,19571207-5811,+45,302-370-7954x89774,1957-12-07,True
Birgitta,Löfgren,Kyrkvägen 27,Helsingborg,95947,Sverige,SE,19490406-4968,+46,+46 (0)8 758 186 87,1949-04-06,True
Ingemar,Bergqvist,Bäckvägen 72,Skövde,58293,Sverige,SE,19760717-8974,+46,0719-674 65,1976-07-17,True
Aud,Lien,Tangenstykket 9,Strand,9200,Norge,NO,19880224-1130,+47,945 28 469,1988-02-24,True
Niclas,Bengtsson,Skolvägen 66,Trelleborg,40611,Sverige,SE,19530715-8143,+46,+46 (0)83 06 60 80,1953-07-15,True
Emma,Haugland,Gulbrandsenhavna 09,Nilsen,6657,Norge,NO,19610729-4060,+47,96378424,1961-07-29,True
Birgit,Håkansson,Björkstigen 78,Gävle,97386,Sverige,SE,19931122-3237,+46,088-46 43 70,1993-11-22,True
Marianne,Kristensen,Kristensengropa 5B,Andreasstrand,0308,Norge,NO,19780903-5327,+47,79 23 21 17,1978-09-03,True
Jan,Magnusson,Bäckstigen 436,Östersund,32296,Sverige,SE,19850618-2667,+46,+46 (0)24 16 00 12,1985-06-18,True
Jennifer,Hart,Moore Gardens 4006,Cassandrabury,16876,Danmark,DK,19601030-4514,+45,+1-332-877-9609x7882,1960-10-30,True
Jon,Helland,Engenspranget 3,Steinfjord,2256,Norge,NO,19671210-4361,+47,+4776913698,1967-12-10,True
Erik,Söderlund,Björkvägen 5,Västerås,37201,Sverige,SE,19710205-6419,+46,08-640 95 63,1971-02-05,True
James,Ward,Joseph Stravenue 705,East Tina,62890,Danmark,DK,19670812-7852,+45,+1-871-338-1959,1967-08-12,True
Elisabeth,Åberg,Genstigen 6,Örnsköldsvik,21493,Sverige,SE,19420824-3615,+46,0899-408 80,1942-08-24,False
Thomas,Amundsen,Hagenringen 49,Vidarstrand,3773,Norge,NO,19750104-3678,+47,486 32 343,1975-01-04,True
Emil,Antonsen,Eliassenstien 3,Christianøy,4843,Norge,NO,19830303-3988,+47,63803936,1983-03-03,True
Kenneth,Sørensen,Nilsenbråten 99A,Svendsen,6076,Norge,NO,19960903-5206,+47,950 66 157,1996-09-03,True
Pentti,Helminen,Maapolku 6,Kangasniemi,85742,Finland,FI,19771025-343L,+358,0467755638,1977-10-25,True
Fredrik,Vikström,Kvarnvägen 605,Lidköping,21953,Sverige,SE,19710222-5204,+46,08-18 31 69,1971-02-22,True
Todd,Parker,Hernandez Drive 16098,East Robertmouth,83189,Danmark,DK,19810317-2427,+45,372.433.5368,1981-03-17,True
Linn,Myhre,Eiderøa 24,Roarborg,5383,Norge,NO,19651116-4299,+47,82394359,1965-11-16,True
Nicole,Copeland,Aaron Isle 118,West Craigborough,22631,Danmark,DK,19650918-6126,+45,801-486-3716x85721,1965-09-18,True
Charlotte,Johansson,Parkgatan 92,Västerås,23400,Sverige,SE,19750602-2616,+46,048-02 61 81,1975-06-02,True
Göran,Wikström,Kvarngränd 24,Skövde,30778,Sverige,SE,19871107-1020,+46,08-414 80 29,1987-11-07,True
Berit,Sandberg,Backvägen 07,Halmstad,21424,Sverige,SE,19800826-6734,+46,+46 (0)42 65 41 61,1980-08-26,True
Karin,Larsson,Furutorget 797,Falun,26412,Sverige,SE,19730727-6956,+46,08-74 93 70,1973-07-27,True
Lilly,Karlsson,Backgatan 2,Lund,89477,Sverige,SE,19430420-2514,+46,0886-042 59,1943-04-20,True
Börje,Åberg,Stationsvägen 4,Eskilstuna,15512,Sverige,SE,19980124-8176,+46,+46 (0)8 933 827 25,1998-01-24,True
Thomas,Brekke,Haugefaret 94,Sørensen,9031,Norge,NO,19760601-2356,+47,72330408,1976-06-01,True
Alisha,Nunez,Wilson Green 8885,West Deborah,65275,Danmark,DK,19810608-6615,+45,001-279-556-4495x69752,1981-06-08,True
Johan,Persson,Skogsvägen 40,Uppsala,87150,Sverige,SE,19560311-5759,+46,08-78 41 45,1956-03-11,True
Ann-Christin,Pettersson,Gengatan 2,Ängelholm,57770,Sverige,SE,19790428-3680,+46,08-74 01 27,1979-04-28,True
Christopher,Proctor,Pitts Port 160,South Joseph,14378,Danmark,DK,19870423-6177,+45,001-367-588-6236x063,1987-04-23,True
Arne,Ljungberg,Asptorget 0,Karlskoga,71899,Sverige,SE,19860902-4168,+46,056-232 79 66,1986-09-02,True
Anders,Davidsson,Kvarnvägen 3,Eskilstuna,50145,Sverige,SE,19520505-0992,+46,086-912 59 21,1952-05-05,True
John,Nichols,Thomas Port 7425,Port Ashleyshire,10249,Danmark,DK,19860923-5693,+45,001-990-445-4859,1986-09-23,True
Johannes,Karlsson,Industristigen 663,Skellefteå,89463,Sverige,SE,19991125-9904,+46,08-64 21 08,1999-11-25,True
Dagny,Pedersen,Trädgårdstorget 584,Borås,32973,Sverige,SE,19820612-4130,+46,+46 (0)47 43 33 65,1982-06-12,True
Marie,Karlsson,Skolvägen 363,Karlskrona,55151,Sverige,SE,19721227-2179,+46,08-038 277 16,1972-12-27,True
Karolina,Johansson,Åkervägen 007,Kristianstad,55895,Sverige,SE,19550410-2611,+46,008-545 30 04,1955-04-10,True
Karin,Eriksson,Ringtorget 7,Uddevalla,38602,Sverige,SE,19471121-4347,+46,+46 (0)8 338 265 76,1947-11-21,True
Fredrik,Haugen,Christensenstubben 2,Myhre,7609,Norge,NO,19700511-7658,+47,970 49 974,1970-05-11,True
Ivan,Nilsson,Skolgränd 0,Västerås,41914,Sverige,SE,19820206-4613,+46,+46 (0)02 96 42 59,1982-02-06,True
Tammy,Landry,Jerome Mews 7525,North Sandrahaven,83199,Danmark,DK,19590423-2261,45,662-500-8804x029,1959-04-23,True
Maria,Olsson,Stortorget 3,Ängelholm,87529,Sverige,SE,19831116-4362,+46,08-520 49 55,1983-11-16,True
Sigvard,Nilsson,Furugatan 3,Alingsås,41746,Sverige,SE,19520219-4922,+46,+46 (0)49 07 84 76,1952-02-19,True
Gerd,Paulsen,Evensenjordet 9,Kirsteneid,2154,Norge,NO,19561009-8867,+47,400 18 571,1956-10-09,True
Joshua,Morton,Lopez Ridge 70408,Russoland,94726,Danmark,DK,19890308-1922,+45,520-569-4433x14472,1989-03-08,True
Tuula,Mäkinen,Maatullinpolku 087,Jokioinen,23891,Finland,FI,19680515-1985,+358,+358 87 7947977,1968-05-15,False
Sune,Olofsson,Järnvägstorget 56,Växjö,64431,Sverige,SE,19681016-4773,+46,078-39 29 25,1968-10-16,True
Eric,Oliver,Daniel Brooks 76253,Michaelton,95917,Danmark,DK,19770719-4151,+45,425-956-6268x0092,1977-07-19,True
Elise,Danielsen,Hellandbråten 4,Helenebø,1109,Norge,NO,19550704-4108,+47,48879960,1955-07-04,True
Karl,Borg,Villagränd 42,Halmstad,28203,Sverige,SE,19950606-4487,+46,+46 (0)509 784 60,1995-06-06,True
Elisabet,Lindberg,Storgränd 576,Borlänge,95865,Sverige,SE,19560514-1375,+46,08-20 23 47,1956-05-14,True
Per,Nordin,Aspgatan 1,Varberg,80335,Sverige,SE,19981227-7393,+46,+46 (0)8 200 772 57,1998-12-27,True
Janne,Koponen,Fallpakankuja 164,Karvia,09931,Finland,FI,19980601-784W,+358,+358421683796,1998-06-01,True
Jan,Pettersson,Parkgränd 151,Alingsås,75121,Sverige,SE,19690821-4667,+46,0951-827 55,1969-08-21,True
Marit,Knudsen,Bergeggen 93C,Sandergrunn,9949,Norge,NO,19900518-7879,+47,448 51 204,1990-05-18,True
Roland,Holmqvist,Aspgatan 2,Umeå,83869,Sverige,SE,19801215-3426,+46,0829-131 03,1980-12-15,True
Douglas,Wright,Mckenzie Parkway 27504,Lake Christopherhaven,57934,Danmark,DK,19440815-7719,+45,3147463394,1944-08-15,True
Tore,Jacobsen,Mathisengrenda 98,Karistad,4456,Norge,NO,19430614-3338,+47,17 81 70 44,1943-06-14,True
Harald,Johannessen,Hagengrenda 1C,Malinås,9347,Norge,NO,19721010-5214,+47,94 76 89 15,1972-10-10,True
Sven,Johansson,Järnvägsgatan 049,Södertälje,93352,Sverige,SE,19880503-3136,+46,0024-90 63 41,1988-05-03,True
Ingrid,Jansson,Stationsgatan 108,Eskilstuna,11838,Sverige,SE,19461209-1513,+46,0117-263 20,1946-12-09,True
Caroline,Davis,Austin Extension 806,Ericfort,45455,Danmark,DK,19710311-3904,+45,314-375-2309,1971-03-11,True
Nils,Andreasson,Skolvägen 24,Lidköping,81618,Sverige,SE,19580704-5972,+46,+46 (0)8 756 187 17,1958-07-04,True
Gunnel,Engström,Genvägen 48,Skövde,22455,Sverige,SE,19420530-7508,+46,075-69 22 54,1942-05-30,True
Renee,Turner,Perez Fords 3064,East Alicia,16201,Danmark,DK,19540526-0066,+45,001-692-403-8585x51652,1954-05-26,True
Karolina,Eriksson,Ringgatan 9,Motala,73204,Sverige,SE,19730102-2472,+46,0719-45 86 20,1973-01-02,True
Agneta,Lundkvist,Bäckvägen 437,Trollhättan,61289,Danmark,SE,19880313-6427,+46,08-423 945 47,1988-03-13,True
Olli,Tuominen,Gotlanninpolku 61,Sastamala,63572,Finland,FI,19501228-129L,+358,+358421027857,1950-12-28,True
Ingrid,Jonsson,Industrivägen 69,Karlskrona,84562,Sverige,SE,19920229-6914,+46,08-385 75 46,1992-02-29,True
Sverre,Berg,Knudsenflata 13,Nielsen,3503,Norge,NO,19750618-3779,+47,+4726735600,1975-06-18,True
Teresa,Ward,Robert Center 71929,Lake Allenville,72815,Danmark,DK,19920312-5432,+45,(632)500-8968x407,1992-03-12,True
Tina,Kim,Brian Estate 7332,North Ritabury,43089,Danmark,DK,19880818-4967,+45,599.339.6708x443,1988-08-18,True
Margit,Markkanen,Uunilinnunbulevardi 6,Siikalatva,20470,Finland,FI,19430223-678R,+358,(+358) 733317985,1943-02-23,True
Adrian,Ahmed,Haugeengen 9,Nilsen,3870,Norge,NO,19890905-0038,+47,72933033,1989-09-05,True
Michele,Smith,Johnson Row 95441,Ingramside,90543,Danmark,DK,19671217-6644,+45,(690)244-8540x8209,1967-12-17,True
Britt,Kristensen,Paulsentunet 93F,Sisselnes,9700,Norge,NO,19921105-1303,+47,+47 52 14 81 67,1992-11-05,True
Øyvind,Antonsen,Aliholtet 2,Sivertsen,9520,Norge,NO,19810105-1168,+47,44596756,1981-01-05,True
Kenneth,Lee,Rivera Mountain 228,Ramseyview,97614,Danmark,DK,19880718-1157,+45,3426132277,1988-07-18,True
Jan,Lind,Skolgatan 47,Linköping,33617,Sverige,SE,20001008-0387,+46,08-685 23 84,2000-10-08,True
Henrik,Olofsson,Skolstigen 094,Uppsala,29399,Sverige,SE,19750305-3099,+46,08-244 97 10,1975-03-05,True
Ellen,Puhakka,Kimalaiskuja 0,Kuortane,20262,Finland,FI,19890423-853H,+358,0831524734,1989-04-23,True
Samuel,Hicks,Ricardo Spur 67172,Huntermouth,85017,Danmark,DK,19470722-7763,+45,340.329.3543x339,1947-07-22,True
Matthew,Cruz,Duke Walks 4046,Port Erika,10829,Danmark,DK,19930207-7413,+45,859.212.1855x7898,1993-02-07,True
Kari,Haugen,Paulsenmoen 24,Jakobsen,2205,Norge,NO,19420115-8344,+47,39396559,1942-01-15,True
Karl,Eliasson,Storgränd 78,Borlänge,82331,Sverige,SE,19520529-8200,+46,032-862 83 69,1952-05-29,True
Pauli,Korpela,Ilmattarenkuja 324,Juupajoki,59226,Finland,FI,19420113-890Y,+358,+358458521512,1942-01-13,True
Fredrik,Hansen,Pettersentunet 42,Berge,5760,Norge,NO,19830808-6942,+47,60 48 86 81,1983-08-08,True
Amanda,Werner,Lisa Alley 50222,South Nicholasshire,05920,Danmark,DK,19770517-6244,+45,(473)855-8007x81073,1977-05-17,True
Diana,Carr,Hill Shore 434,Hansonchester,02645,Danmark,DK,19851021-6928,+45,753.842.8306,1985-10-21,True
Christine,Holmgren,Parkgatan 2,Falun,84684,Sverige,SE,19950906-5838,+46,+46 (0)339 115 86,1995-09-06,True
Katarina,Johansson,Parkstigen 163,Göteborg,18862,Sverige,SE,19800121-4579,+46,046-279 30 37,1980-01-21,True
Asta,Edlund,Björkgränd 881,Lund,60674,Sverige,SE,19680807-3333,+46,005-224 30 33,1968-08-07,True
Ulrika,Andersson,Kyrkotorget 983,Umeå,91456,Sverige,SE,19800702-8627,+46,0669-64 76 85,1980-07-02,True
Marius,Martinsen,Næsslyngen 5,Christensen,3294,Norge,NO,19840619-3169,+47,+4760628822,1984-06-19,True
Roar,Sandvik,Andersenhagen 81,Karolinevær,0028,Norge,NO,19831203-2048,+47,23 48 93 60,1983-12-03,True
Ian,Baker,Stacey Locks 0693,North Michellemouth,54326,Daqmark,DK,19930810-9770,+47,(527)212-2966,1993-08-10,True
Peter,Svensson,Åkervägen 283,Sandviken,12797,Sverige,SE,19511224-5971,+46,+46 (0)8 051 883 54,1951-12-24,True
Amanda,Nilsson,Ekgränd 65,Varberg,15428,Sverige,SE,19490503-1632,+46,08-285 69 56,1949-05-03,True
Nils,Ek,Furutorget 93,Västerås,37451,Sverige,SE,19550703-7110,+46,08-973 448 80,1955-07-03,True
Jukka,Riihimäki,Zaidanpolku 89,Pihtipudas,91934,Finland,FI,19540814-308K,+358,(+358) 971437152,1954-08-14,True
Aleksi,Mattila,Uurtajantie 034,Rusko,16556,Finland,FI,19520926-8533,+358,0923130408,1952-09-26,True
Sarah,Kelly,Green Place 831,South Julieshire,98357,Danmark,DK,19650313-0636,+358,+1-837-309-5332x68523,1965-03-13,True
Elsa,Johansson,Parkgränd 48,Kalmar,44429,Sverige,SE,19901214-5319,+46,052-96 24 72,1990-12-14,True
Alf,Berg,Dahlhavna 2,Sigridøy,2524,Norge,NO,19960903-0381,+47,43887256,1996-09-03,True
Peter,Karlsson,Åkervägen 449,Sundsvall,26491,Sverige,SE,20001225-2362,+46,0888-967 72,2000-12-25,True
Wenche,Sivertsen,Gulbrandsenkollen 303,Evensen,1030,Norge,NO,19970224-3840,+47,+4729142977,1997-02-24,True
Anna,Arvidsson,Ängsgatan 32,Luleå,47337,Sverige,SE,19730902-0141,+46,0971-28 15 64,1973-09-02,True
Antti,Heinonen,Elontie 599,Hyrynsalmi,01241,Finland,FI,19501012-029V,+358,025 621 6079,1950-10-12,True
Stine,Tangen,Birkelandtoppen 27A,Larsen,2123,Norge,NO,19670125-2884,+47,+47 08 82 83 83,1967-01-25,True
Jan,Nilsson,Trädgårdstorget 828,Uppsala,70269,Sverige,SE,19640618-0140,+46,08-570 04 84,1964-06-18,True
Hannu,Toivonen,Dagmarinkatu 186,Nousiainen,72164,Finland,FI,19540826-100X,+358,+358857923940,1954-08-26,True
Agneta,Andersson,Gengatan 024,Växjö,47628,Sverige,SE,19870625-1273,+46,077-859 13 11,1987-06-25,True
Inger,Paulsen,Ødegårdroa 1,Runestrand,3482,Norge,NO,19690823-7055,+47,99157658,1969-08-23,True
Johan,Fredriksson,Parkvägen 746,Landskrona,24283,Sverige,SE,19861012-4089,+46,0171-418 16,1986-10-12,True
Linn,Pettersen,Bakkengata 27A,Karinborg,2838,Norge,NO,19960608-7070,+47,70 49 53 20,1996-06-08,True
Gerd,Olsson,Järnvägsvägen 3,Karlskoga,44265,Sverige,SE,19490203-9614,+46,08-641 39 31,1949-02-03,True
Tapio,Hämäläinen,Jättiläisenkuja 969,Puumala,48964,Finland,FI,19830606-2498,+358,070 986 7428,1983-06-06,True
Lilian,Nilsson,Storstigen 0,Norrköping,37734,Sverige,SE,19920608-3322,+46,08-419 23 39,1992-06-08,True
Louise,Isaksson,Genstigen 099,Lidingö,13652,Sverige,SE,19681007-1241,+46,+46 (0)8 146 291 51,1968-10-07,True
Jonas,Johansson,Björktorget 491,Piteå,21000,Sverige,SE,19510801-8650,+46,0351-369 99,1951-08-01,True
Petter,Ericsson,Industrigatan 68,Karlskrona,20420,Sverige,SE,19790810-5528,+46,0199-171 31,1979-08-10,True
Stig,Nilsson,Kvarngatan 590,Varberg,54279,Sverige,SE,19830305-4754,+46,08-637 51 70,1983-03-05,True
Arvid,Wallin,Björktorget 997,Karlstad,44144,Sverige,SE,19750821-5455,+46,+46 (0)94 49 75 94,1975-08-21,True
Lindsey,Williams,Jordan Walk 2041,Aguilarport,81046,Danmark,DK,19831130-0649,+45,296-224-4725x512,1983-11-30,True
Carl,Danielsson,Ektorget 754,Mölndal,29035,Sverige,SE,19591026-4394,+46,081-263 34 74,1959-10-26,True
Aud,Andreassen,Vikalléen 5,Halvorsen,8170,Norge,NO,19570602-8482,+47,82 23 21 47,1957-06-02,True
Margareta,Wallin,Backgatan 58,Karlstad,56324,Sverige,SE,19401224-2960,+46,0829-350 15,1940-12-24,True
Erik,Lindberg,Gengatan 0,Göteborg,61258,Sverige,SE,19490831-6276,+46,08-198 30 76,1949-08-31,True
Olav,Sørensen,Bakkenbråten 5,Berntsen,6619,Norge,NO,19900505-4670,+47,+4766840060,1990-05-05,True
Aimo,Parkkinen,Ilmattarenbulevardi 9,Laihia,74689,Finland,FI,19880226-411B,+358,+358 82 8212278,1988-02-26,True
Kari,Pedersen,Hansenjordet 30,Ingeborgodden,7682,Norge,NO,19520601-4216,+47,11865154,1952-06-01,True
Andrew,Jackson,Sarah Alley 715,Port Howardtown,95118,Danmark,DK,19731215-9653,+45,903-764-3236x1788,1973-12-15,True
Kent,Björklund,Åkerstigen 77,Linköping,25117,Sverige,SE,19981008-8857,+46,08-195 105 34,1998-10-08,True
Ralph,Sanchez,James Underpass 07251,Starkmouth,70627,Danmark,DK,19640502-6942,+45,397.801.7182x5154,1964-05-02,True
Linda,Hellström,Stationsvägen 0,Karlskoga,76771,Sverige,SE,19610511-8699,+46,002-725 32 88,1961-05-11,True
Susanne,Andersson,Järnvägsgränd 659,Varberg,61122,Sverige,SE,19501221-6298,+46,074-47 92 38,1950-12-21,True
Emilia,Johansson,Strandstigen 18,Stockholm,70112,Sverige,SE,19780629-2492,+46,0608-243 45,1978-06-29,True
Sonja,Englund,Trädgårdsgränd 539,Motala,81410,Sverige,SE,19821026-5327,+46,0885-39 05 31,1982-10-26,True
Rolf,Eriksson,Björkvägen 958,Linköping,98658,Sverige,SE,19440606-9469,+46,033-95 98 93,1944-06-06,True
Inger,Karlsson,Strandvägen 74,Mölndal,86968,Sverige,SE,19441002-8440,+46,0283-862 51,1944-10-02,True
Christer,Mattsson,Parkstigen 42,Växjö,56072,Sverige,SE,19960809-3589,+46,023-072 00 63,1996-08-09,True
Hans,Jansson,Kvarngatan 954,Luleå,29091,Sverige,SE,19610129-4434,+46,08-218 89 90,1961-01-29,True
Dawn,Gallagher,Luis Station 90668,Lynnshire,92037,Danmark,DK,19450412-1799,+45,001-877-857-3560x1209,1945-04-12,True
Niklas,Johansson,Stationsvägen 5,Jönköping,42833,Sverige,SE,19510319-6842,46,08-89 26 04,1951-03-19,True
Linnéa,Eriksson,Fabrikstorget 314,Motala,86496,Sverige,SE,19610325-3039,+46,0791-598 54,1961-03-25,True
David,Flowers,Young Pass 60126,South Donnaland,61376,Danmark,DK,19811021-0887,+45,694.822.5490,1981-10-21,True
Bernt,Bäckström,Parkstigen 06,Örnsköldsvik,24913,Sverige,SE,19720805-2537,+46,08-131 617 06,1972-08-05,True
Katriina,Rantanen,Bergantie 3,Maalahti,55339,Finland,FI,19640530-479A,+358,(+358) 802583882,1964-05-30,True
Christina,Jonsson,Nygatan 74,Västerås,80397,Sverige,SE,19871231-4344,+46,08-716 67 73,1987-12-31,True
Vilde,Edvardsen,Thorsengrenda 7A,Bakke,0325,Norge,NO,19680401-9407,+47,47 54 00 24,1968-04-01,True
Jenny,Karlsson,Skolgatan 3,Kristianstad,23607,Sverige,SE,19820301-7926,+46,08-04 75 02,1982-03-01,True
Olov,Nilsson,Industrivägen 58,Mölndal,18253,Sverige,SE,19880308-7357,+46,0037-48 94 17,1988-03-08,True
Tammie,Wagner,Jessica Port 8232,West Jennifershire,85253,Danmark,DK,19530111-6127,+45,409-909-6404,1953-01-11,False
Anita,Persson,Trädgårdsgatan 654,Karlskrona,44412,Sverige,SE,19630325-2493,+46,08-753 69 19,1963-03-25,True
Rasmus,Andersson,Gengatan 34,Ängelholm,60517,Sverige,SE,19500406-4092,+46,+46 (0)184 417 15,1950-04-06,True
Mikael,Lehtonen,Rapolankuja 2,Kempele,94490,Finland,FI,19501225-8316,+358,+358 704303268,1950-12-25,True
Erik,Ohlsson,Kvarnvägen 4,Södertälje,14850,Sverige,SE,19950717-7277,+46,08-811 90 78,1995-07-17,True
Sandra,Andersson,Industrigränd 42,Västerås,76646,Sverige,SE,19660921-6669,+46,+46 (0)57 06 30 36,1966-09-21,True
Geir,Martinsen,Ahmedroa 30C,Adrianby,8443,Norge,NO,19630201-8333,+47,93415377,1963-02-01,True
